BHK,Type,Location,Price,Sqft,Status,Deposit,Availability,Bathrooms,Facing
2,Apartment,Kukatpally,"11,000",900,Furnished,No Deposit,NA,2,NA
3,Apartment,Padmarao Nagar,"27,000",1350,Furnished,No Deposit,NA,3,NA
2,Apartment,Bollaram,"13,000",1150,Unfurnished,No Deposit,NA,2,NA
3,Apartment,Kukatpally,"22,000",1490,Semi-Furnished,No Deposit,NA,2,East facing
3,Apartment,Manikonda,"20,000",1650,Semi-Furnished,No Deposit,NA,3,NA
3,Apartment,Gopanpally,"24,000",1570,Semi-Furnished,No Deposit,NA,2,West facing
2,Apartment,Chandanagar,"22,000",1280,Semi-Furnished,No Deposit,NA,2,NA
1,Apartment,Padmarao Nagar,"5,000",200,Unfurnished,No Deposit,NA,1,NA
2,Apartment,Serilingampally,"19,000",1250,Semi-Furnished,No Deposit,NA,2,NA
1,Apartment,Madhapur,"16,000",800,Semi-Furnished,No Deposit,NA,1,NA
3,Apartment,Venkat Nagar Colony,"22,000",1475,Semi-Furnished,No Deposit,NA,2,North facing
3,Apartment,Masab Tank,"35,000",2350,Furnished,No Deposit,NA,3,NA
2,Apartment,Madhapur,"19,000",1100,Semi-Furnished,No Deposit,NA,2,NA
1,Apartment,Madhapur,"8,000",750,Unfurnished,No Deposit,NA,1,NA
1,Apartment,Madhapur,"16,500",850,Furnished,No Deposit,NA,1,NA
1,Apartment,Madhapur,"17,000",850,Furnished,No Deposit,NA,1,NA
1,Apartment,Madhapur,"8,000",750,Unfurnished,No Deposit,NA,1,NA
2,Apartment,Borabanda,"9,000",500,Unfurnished,No Deposit,NA,2,NA
2,Apartment,Gachibowli,"16,000",1260,Semi-Furnished,No Deposit,NA,2,NA
3,Apartment,Banjara Hills,"49,000",1900,Semi-Furnished,No Deposit,NA,3,NorthEast facing
3,Apartment,Jubilee Hills,"40,000",1500,Furnished,No Deposit,NA,2,East facing
1,Apartment,Jubilee Hills,"11,000",500,Unfurnished,No Deposit,NA,1,NA
2,Apartment,Jubilee Hills,"25,000",1030,Semi-Furnished,No Deposit,NA,2,NorthEast facing
1,Apartment,Madhapur,"12,000",600,Unfurnished,No Deposit,NA,1,NA
1,Apartment,Sanjeeva Reddy Nagar,"9,200",612,Unfurnished,No Deposit,NA,1,NA
1,Apartment,Madhapur,"10,000",550,Unfurnished,No Deposit,NA,1,North facing
1,Apartment,Sanath Nagar,"8,000",650,Unfurnished,No Deposit,NA,1,NA
2,Apartment,Sanath Nagar,"16,000",1250,Semi-Furnished,No Deposit,NA,2,East facing
2,Apartment,Sanath Nagar,"13,500",1250,Unfurnished,No Deposit,NA,2,NA
3,Apartment,Jubilee Hills,"70,000",2500,Semi-Furnished,No Deposit,NA,3,NorthEast facing
2,Apartment,Shanthi Nagar,"19,000",1000,Semi-Furnished,No Deposit,NA,2,NA
2,Apartment,Nagaram,"28,000",1200,Semi-Furnished,No Deposit,NA,2,NA
3,Apartment,Jubilee Hills,"45,000",3000,Semi-Furnished,No Deposit,NA,3,East facing
3,Apartment,Jubilee Hills,"65,000",2600,Semi-Furnished,No Deposit,NA,3,West facing
3,Apartment,Jubilee Hills,"65,000",2200,Semi-Furnished,No Deposit,NA,3,East facing
3,Apartment,Jubilee Hills,"85,000",3000,Semi-Furnished,No Deposit,NA,3,NorthEast facing
3,Apartment,Banjara Hills,"60,000",2100,Furnished,No Deposit,NA,3,East facing
3,Apartment,Banjara Hills,"65,000",2000,Furnished,No Deposit,NA,3,NorthEast facing
2,Apartment,Jubilee Hills,"20,000",1100,Semi-Furnished,No Deposit,NA,2,East facing
2,Apartment,Jubilee Hills,"25,000",1000,Semi-Furnished,No Deposit,NA,2,North facing
2,Apartment,Jubilee Hills,"25,000",1050,Semi-Furnished,No Deposit,NA,2,West facing
3,Apartment,Banjara Hills,"65,000",2500,Semi-Furnished,No Deposit,NA,3,East facing
3,Apartment,Banjara Hills,"52,000",2000,Semi-Furnished,No Deposit,NA,3,NorthEast facing
2,Apartment,Madhapur,"27,000",1300,Semi-Furnished,No Deposit,NA,2,NA
3,Apartment,LB Nagar,"25,000",1600,Semi-Furnished,No Deposit,NA,3,West facing
1,Apartment,Gachibowli,"15,000",600,Semi-Furnished,No Deposit,NA,1,NA
4,Apartment,Kothapet,"50,000",4000,Furnished,No Deposit,NA,3,West facing
1,Apartment,Ameerpet,"7,500",599,Semi-Furnished,No Deposit,NA,1,East facing
1,Apartment,Yousufguda,"7,600",642,Semi-Furnished,No Deposit,NA,1,East facing
1,Apartment,Ameerpet,"9,500",650,Semi-Furnished,No Deposit,NA,1,East facing
1,Apartment,Sanjeeva Reddy Nagar,"8,000",650,Semi-Furnished,No Deposit,NA,1,North facing
2,Apartment,Yousufguda,"14,000",1087,Semi-Furnished,No Deposit,NA,2,East facing
2,Apartment,Sanjeeva Reddy Nagar,"16,000",1150,Furnished,No Deposit,NA,2,North facing
2,Apartment,Ameerpet,"16,000",1250,Unfurnished,No Deposit,NA,2,NA
2,Apartment,Madhapur,"27,000",1100,Semi-Furnished,No Deposit,NA,2,NA
2,Apartment,Jubilee Hills,"18,000",1000,Semi-Furnished,No Deposit,NA,2,NA
3,Apartment,Jubilee Hills,"30,000",1600,Semi-Furnished,No Deposit,NA,2,NA
2,Apartment,Banjara Hills,"25,000",1200,Semi-Furnished,No Deposit,NA,2,East facing
3,Apartment,Nagaram,"40,000",1800,Semi-Furnished,No Deposit,NA,3,NA
